Rank,Name,Committed School,Conference
1,Bryce Underwood,Michigan,Big Ten
2,Tavien St. Clair,Ohio State,Big Ten
3,Keelon Russell,Alabama,SEC
4,Elijah Griffin,Georgia,SEC
5,Devin Sanchez,Ohio State,Big Ten
6,Jonah Williams,Texas,SEC
7,David Sanders Jr.,Tennessee,SEC
8,Dakorien Moore,Oregon,Big Ten
9,Justus Terry,Georgia,SEC
10,Isaiah Gibson,Georgia,SEC
11,Andrew Babalola,Michigan,Big Ten
12,Na'eem Offord,Ohio State,Big Ten
13,Michael Carroll,Alabama,SEC
14,Iose Epenesa,Iowa,Big Ten
15,Dijon Lee,Alabama,SEC
16,Kaliq Lockett,Texas,SEC
17,Michael Fasusi,Oklahoma,SEC
18,Zayden Walker,Georgia,SEC
19,DJ Pickett,LSU,SEC
20,Ty Haywood,Alabama,SEC
21,Josh Petty,Georgia Tech,ACC
22,Caleb Cunningham,Ole Miss,SEC
23,Amare Adams,Clemson,ACC
24,Michael Terry III,Texas,SEC
25,Jared Smith,Auburn,SEC
26,Dallas Wilson,Oregon,Big Ten
27,Lamont Rogers,Missouri,Unknown
28,Husan Longstreet,USC,Big Ten
29,Brandon Finney,Oregon,Big Ten
30,Jerome Myles,USC,Big Ten
31,Malik Autry,Auburn,SEC
32,Linkon Cure,Kansas State,SEC
