Winner_Rank,Winner_Team,Winner_Score,Loser_Rank,Loser_Team,Loser_Score,Year
,Georgia Tech 24,24,,No. 10,21,2024
No. 7 ,Notre Dame 23,23,,No. 20,13,2024
No. 3 ,Texas 31,31,,No. 10,12,2024
No. 16 ,LSU 36,36,,South Carolina 33,33,2024
No. 6 ,Tennessee 25,25,,No. 15,14,2024
No. 4 ,Alabama 41,41,,No. 2,34,2024
No. 8 ,Miami (Fla.) 39,39,,Cal 38,38,2024
No. 3 ,Oregon 32,32,,No. 2,31,2024
No. 5 ,Georgia 30,30,,No. 1,15,2024
No. 13 ,Indiana 31,31,,Washington 17,17,2024
No. 4 ,Ohio State 20,20,,No. 3,13,2024
No. 11 ,Alabama 42,42,,No. 14,13,2024
No. 12 ,Georgia 31,31,,No. 7,17,2024
No. 2 ,Ohio State 38,38,,No. 5,15,2024
,Texas at Texas A&M,,,,,2024
No. 21 ,North Carolina 31,31,,South Carolina 17,17,2023
No. 11 ,Texas 34,34,,No. 3,24,2023
No. 18 ,Colorado 43,43,,Colorado State 35,35,2023
No. 6 ,Ohio State 17,17,,No. 9,14,2023
No. 11 ,Notre Dame 21,21,,No. 17,14,2023
No. 12 ,Oklahoma 34,34,,No. 3,30,2023
No. 7 ,Washington 36,36,,No. 8,33,2023
No. 3 ,Ohio State 20,20,,No. 6,12,2023
No. 8 ,Oregon 35,35,,No. 13,6,2023
No. 8 ,Alabama 42,42,,No. 14,28,2023
No. 2 ,Georgia 52,52,,Ole Miss 17,17,2023
,Appalachian State 26,26,,James Madison 24,24,2023
No. 3 ,Michigan 30,30,,No. 2,24,2023
No. 8 ,Alabama 27,27,,No. 1,24,2023
No. 1 ,Michigan 27,27,,No. 5,20,2023
No. 1 ,Michigan 34,34,,No. 2,13,2023
