Date,SEC,SEC_points,ACC_points,ACC,Home/Away
9/14/2024,Missouri,27,21,Boston College,home
9/14/2024,Mississippi,40,6,Wake Forest,away
9/7/2024,Auburn,14,21,California,home
9/7/2024,Tennessee,51,10,North Carolina State,away
8/31/2024,Georgia,34,3,Clemson,home
8/31/2024,Vanderbilt,34,27,Virginia Tech,home
8/31/2024,Florida,17,41,Miami,home
12/30/2023,Georgia,63,3,Florida State,bowl
12/29/2023,Kentucky,35,38,Clemson,bowl
11/25/2023,Kentucky,38,31,Louisville,away
11/25/2023,Florida,15,24,Florida State,home
11/25/2023,South Carolina,7,16,Clemson,home
11/25/2023,Georgia,31,23,Georgia Tech,away
9/16/2023,Mississippi,48,23,Georgia Tech,home
9/9/2023,Vanderbilt,20,36,Wake Forest,away
9/9/2023,Texas A&M,33,48,Miami,away
9/3/2023,LSU,24,45,Florida State,away
9/2/2023,Tennessee,49,13,Virginia,home
9/2/2023,South Carolina,17,31,North Carolina,home
12/30/2022,Tennessee,31,14,Clemson,bowl
12/23/2022,Missouri,17,27,Wake Forest,bowl
11/26/2022,Georgia,37,14,Georgia Tech,home
11/26/2022,South Carolina,31,30,Clemson,away
11/26/2022,Kentucky,26,13,Louisville,home
11/25/2022,Florida,38,45,Florida State,away
9/17/2022,Mississippi,42,0,Georgia Tech,away
9/17/2022,Texas A&M,17,9,Miami,home
9/10/2022,Vanderbilt,25,45,Wake Forest,home
9/10/2022,Tennessee,34,27,Pittsburgh,away
9/4/2022,LSU,23,24,Florida State,home
12/30/2021,South Carolina,38,21,North Carolina,bowl
11/27/2021,Florida,24,21,Florida State,home
11/27/2021,Georgia,45,0,Georgia Tech,away
11/27/2021,South Carolina,0,30,Clemson,home
11/27/2021,Kentucky,52,21,Louisville,away
9/25/2021,Missouri,34,41,Boston College,away
9/11/2021,Tennessee,34,41,Pittsburgh,home
9/11/2021,Mississippi State,24,10,North Carolina State,home
9/6/2021,Mississippi,43,24,Louisville,home
9/4/2021,Alabama,44,13,Miami,away
9/4/2021,Georgia,10,3,Clemson,away
1/2/2021,Kentucky,23,21,North Carolina State,bowl
1/2/2021,Texas A&M,41,27,North Carolina,bowl
1/1/2021,Alabama,31,14,Notre Dame,bowl
1/13/2020,LSU,42,25,Clemson,bowl
12/31/2019,Kentucky,37,30,Virginia Tech,bowl
12/30/2019,Mississippi State,28,38,Louisville,bowl
12/30/2019,Florida,36,28,Virginia,bowl
11/30/2019,Kentucky,45,13,Louisville,home
11/30/2019,Georgia,52,7,Georgia Tech,away
11/30/2019,South Carolina,3,38,Clemson,home
11/30/2019,Florida,40,17,Florida State,home
9/7/2019,Texas A&M,10,24,Clemson,away
8/31/2019,South Carolina,20,24,North Carolina,away
8/31/2019,Alabama,42,3,Duke,home
8/24/2019,Florida,24,20,Miami,home
1/7/2019,Alabama,16,44,Clemson,bowl
12/31/2018,Texas A&M,52,13,North Carolina State,bowl
12/29/2018,South Carolina,0,28,Virginia,bowl
11/24/2018,Florida,41,14,Florida State,away
11/24/2018,Georgia,45,21,Georgia Tech,home
11/24/2018,South Carolina,35,56,Clemson,away
11/24/2018,Kentucky,56,10,Louisville,away
9/8/2018,Texas A&M,26,28,Clemson,home
9/2/2018,LSU,33,17,Miami,home
9/1/2018,Alabama,51,14,Louisville,away
1/1/2018,Alabama,24,6,Clemson,bowl
12/30/2017,Mississippi State,31,27,Louisville,bowl
12/29/2017,Texas A&M,52,55,Wake Forest,bowl
11/25/2017,Florida,22,38,Florida State,home
11/25/2017,Georgia,38,7,Georgia Tech,away
11/25/2017,Kentucky,17,44,Louisville,home
11/25/2017,South Carolina,10,34,Clemson,home
9/23/2017,LSU,35,26,Syracuse,home
9/9/2017,Auburn,6,14,Clemson,away
9/4/2017,Tennessee,42,41,Georgia Tech,away
9/2/2017,South Carolina,35,28,North Carolina State,home
9/2/2017,Alabama,24,7,Florida State,home
1/9/2017,Alabama,31,35,Clemson,bowl
12/31/2016,Kentucky,18,33,Georgia Tech,bowl
12/31/2016,LSU,29,9,Louisville,bowl
12/29/2016,Arkansas,24,35,Virginia Tech,bowl
12/26/2016,Vanderbilt,17,41,North Carolina State,bowl
11/26/2016,Kentucky,41,38,Louisville,away
11/26/2016,Georgia,27,28,Georgia Tech,home
11/26/2016,South Carolina,7,56,Clemson,away
11/26/2016,Florida,13,31,Florida State,away
9/17/2016,Vanderbilt,7,38,Georgia Tech,away
9/10/2016,Tennessee,45,24,Virginia Tech,away
9/5/2016,Mississippi,34,45,Florida State,away
9/3/2016,Georgia,33,24,North Carolina,away
9/3/2016,Auburn,13,19,Clemson,home
1/11/2016,Alabama,45,40,Clemson,bowl
12/30/2015,Mississippi State,51,28,North Carolina State,bowl
12/30/2015,Texas A&M,21,27,Louisville,bowl
11/28/2015,Kentucky,24,38,Louisville,home
11/28/2015,South Carolina,32,37,Clemson,home
11/28/2015,Georgia,13,7,Georgia Tech,away
11/28/2015,Florida,2,27,Florida State,home
9/26/2015,LSU,34,24,Syracuse,away
9/5/2015,Auburn,31,24,Louisville,home
9/3/2015,South Carolina,17,13,North Carolina,home
12/31/2014,Mississippi State,34,49,Georgia Tech,bowl
12/30/2014,Georgia,37,14,Louisville,bowl
12/27/2014,South Carolina,24,21,Miami,bowl
11/29/2014,South Carolina,17,35,Clemson,away
11/29/2014,Georgia,24,30,Georgia Tech,home
11/29/2014,Kentucky,40,44,Louisville,away
11/29/2014,Florida,19,24,Florida State,away
8/30/2014,Georgia,45,21,Clemson,home
1/6/2014,Auburn,31,34,Florida State,bowl
