Date,SEC,SEC_points,Pac12_points,PAC-12,Home/Away
9/9/2023,Mississippi State,31,24,Arizona,home
9/9/2023,Auburn,14,10,California,away
8/31/2023,Florida,11,24,Utah,away
12/17/2022,Florida,3,30,Oregon State,bowl
9/10/2022,Mississippi State,39,17,Arizona,away
9/3/2022,Georgia,49,3,Oregon,home
9/3/2022,Florida,29,26,Utah,home
9/18/2021,Vanderbilt,23,41,Stanford,home
9/11/2021,Texas A&M,10,7,Colorado,away
9/4/2021,LSU,27,38,UCLA,away
9/21/2019,Mississippi,20,28,California,home
8/31/2019,Auburn,27,21,Oregon,home
9/1/2018,Auburn,21,16,Washington,away
9/16/2017,Mississippi,16,27,California,away
9/3/2017,Texas A&M,44,45,UCLA,away
12/31/2016,Alabama,24,7,Washington,bowl
9/3/2016,Texas A&M,31,24,UCLA,home
9/3/2016,Alabama,52,6,Southern California,home
9/5/2015,Texas A&M,38,17,Arizona State,home
9/14/2013,Tennessee,14,59,Oregon,away
8/31/2013,Auburn,31,24,Washington State,home
