ID,Year,Championship,Winner_Championship,Conference_Champion,Conferemce_Runner
1,2024,"No. 1 Michigan 34, No. 2 Washington 13",Michigan,Big Ten,Pac-12
2,2023,"No. 1 Georgia 65, No. 3 TCU 7",Georgia,SEC,SEC
3,2022,"No. 3 Georgia 33, No. 1 Alabama 18",Georgia,SEC,SEC
4,2021,"No. 1 Alabama 52, No. 3 Ohio State 24",Alabama,SEC,Big Ten
5,2020,"No. 1 LSU 42, No. 3 Clemson 25",LSU,SEC,ACC
6,2019,"No. 2 Clemson 44, No. 1 Alabama 16",Clemson,ACC,SEC
7,2018,"No. 4 Alabama 26, No. 3 Georgia 23 (OT)",Alabama,SEC,SEC
8,2017,"No. 2 Clemson 35, No. 1 Alabama 31",Clemson,ACC,SEC
9,2016,"No. 2 Alabama 45, No. 1 Clemson 40",Alabama,SEC,ACC
10,2015,"No. 4 Ohio State 42, No. 2 Oregon 20",Ohio State,Big Ten,Pac-12
